,Unnamed: 0,Year,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Home Team Initials,Away Team Initials,Date,month,year,time,Home_Team_Avg_Goals_Scored,Away_Team_Avg_Goals_Scored,Home_Team_Win_Rate,Away_Team_Win_Rate,Head_to_Head_Wins,Is_Home_Advantage,Result
200,200,1970.0,Group 1,Estadio Azteca,Mexico City ,Mexico,0.0,0.0,Soviet Union,107160.0,MEX,URS,31.0,5.0,1970.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
134,134,1958.0,Match for third place,Nya Ullevi,Gothenburg ,France,,3.0,Germany FR,32483.0,FRA,FRG,28.0,6.0,1958.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
27,27,1934.0,Quarter-finals,San Siro,Milan ,Germany,2.0,1.0,Sweden,3000.0,GER,SWE,31.0,5.0,1934.0,16:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
755,755,2010.0,Group H,Free State Stadium,Mangaung/Bloemfontein ,Switzerland,0.0,0.0,Honduras,28042.0,SUI,HON,25.0,6.0,2010.0,20:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
230,230,1970.0,Match for third place,Estadio Azteca,Mexico City ,Germany FR,1.0,0.0,Uruguay,104403.0,FRG,URU,20.0,6.0,1970.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
489,489,1994.0,Group A,Stanford Stadium,San Francisco ,Switzerland,0.0,2.0,Colombia,83401.0,SUI,COL,26.0,6.0,1994.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
378,378,1986.0,Group D,Tres de Marzo,Guadalajara ,Northern Ireland,1.0,2.0,Spain,28000.0,NIR,ESP,7.0,6.0,1986.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
288,288,1978.0,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,0.0,0.0,Tunisia,30667.0,FRG,TUN,10.0,6.0,1978.0,16:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
418,418,1990.0,Group D,Giuseppe Meazza,Milan ,Germany FR,,1.0,Yugoslavia,74765.0,FRG,YUG,10.0,6.0,1990.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
674,674,2006.0,Group H,"FIFA World Cup Stadium, Hamburg",Hamburg ,Saudi Arabia,0.0,4.0,Ukraine,50000.0,KSA,UKR,19.0,6.0,2006.0,18:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
391,391,1986.0,Group F,Tecnologico,Monterrey ,England,3.0,0.0,Poland,22700.0,ENG,POL,11.0,6.0,1986.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
592,592,2002.0,Group H,Saitama Stadium 2002,Saitama ,Japan,2.0,2.0,Belgium,55256.0,JPN,BEL,4.0,6.0,2002.0,18:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
498,498,1994.0,Group D,Foxboro Stadium,Boston ,Greece,0.0,2.0,Nigeria,53001.0,GRE,NGA,30.0,6.0,1994.0,19:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
138,138,1962.0,Group 4,Estadio El Teniente-Codelco,Rancagua ,Argentina,1.0,0.0,Bulgaria,7134.0,ARG,BUL,30.0,5.0,1962.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
62,62,1950.0,Group 2,Independencia,Belo Horizonte ,USA,1.0,0.0,England,10151.0,USA,ENG,29.0,6.0,1950.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
471,471,1994.0,Group B,Rose Bowl,Los Angeles ,Cameroon,2.0,2.0,Sweden,93194.0,CMR,SWE,19.0,6.0,1994.0,19:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
647,647,2006.0,Group B,"FIFA World Cup Stadium, Dortmund",Dortmund ,"rn"">Trinidad and Tobago",0.0,0.0,Sweden,62959.0,TRI,SWE,10.0,6.0,2006.0,18:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
128,128,1958.0,Quarter-finals,Nya Ullevi,Gothenburg ,Brazil,1.0,0.0,Wales,25923.0,BRA,WAL,19.0,6.0,1958.0,19:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
830,830,2014.0,Quarter-finals,Arena Fonte Nova,Salvador ,Netherlands,0.0,0.0,Costa Rica,51179.0,NED,CRC,5.0,7.0,2014.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
520,520,1998.0,Group D,La Mosson,Montpellier ,Paraguay,0.0,0.0,Bulgaria,29800.0,PAR,BUL,12.0,6.0,1998.0,14:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
64,64,1950.0,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,1.0,0.0,England,74462.0,ESP,ENG,2.0,7.0,1950.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
14,14,1930.0,Group 1,Estadio Centenario,Montevideo ,Argentina,3.0,1.0,Chile,41459.0,ARG,CHI,22.0,7.0,1930.0,14:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
156,156,1962.0,Group 1,Carlos Dittborn,Arica ,Yugoslavia,,0.0,Colombia,7167.0,YUG,COL,7.0,6.0,1962.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
40,40,1938.0,First round,Stade de la Meinau,Strasbourg ,Brazil,,5.0,Poland,13452.0,BRA,POL,5.0,6.0,1938.0,17:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
492,492,1994.0,Group E,Giants Stadium,New York/New Jersey ,"rn"">Republic of Ireland",0.0,0.0,Norway,72404.0,IRL,NOR,28.0,6.0,1994.0,12:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
379,379,1986.0,Group B,Estadio Azteca,Mexico City ,Mexico,1.0,1.0,Paraguay,114600.0,MEX,PAR,7.0,6.0,1986.0,12:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
187,187,1966.0,Group 4,Ayresome Park,Middlesbrough ,Korea DPR,1.0,0.0,Italy,17829.0,PRK,ITA,19.0,7.0,1966.0,19:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
216,216,1970.0,Group 2,Cuauhtemoc,Puebla ,Sweden,1.0,0.0,Uruguay,18163.0,SWE,URU,10.0,6.0,1970.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
52,52,1938.0,Final,Stade Olympique,Colombes ,Italy,,2.0,Hungary,45000.0,ITA,HUN,19.0,6.0,1938.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
337,337,1982.0,Group 6,Benito Villamarin,Seville ,Brazil,,0.0,New Zealand,43000.0,BRA,NZL,23.0,6.0,1982.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
748,748,2010.0,Group F,Ellis Park Stadium,Johannesburg ,Slovakia,3.0,2.0,Italy,53412.0,SVK,ITA,24.0,6.0,2010.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
719,719,2010.0,Group F,Royal Bafokeng Sports Palace,Phokeng ,New Zealand,1.0,1.0,Slovakia,23871.0,NZL,SVK,15.0,6.0,2010.0,13:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
724,724,2010.0,Group A,Loftus Versfeld Stadium,Tshwane/Pretoria ,South Africa,0.0,3.0,Uruguay,42658.0,RSA,URU,16.0,6.0,2010.0,20:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
295,295,1978.0,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Netherlands,,1.0,Austria,25050.0,NED,AUT,14.0,6.0,1978.0,13:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
701,701,2006.0,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg ,Italy,3.0,0.0,Ukraine,50000.0,ITA,UKR,30.0,6.0,2006.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
